,residue,split,target
0,1b23.R.2,train,False
1,1b23.R.1,train,False
2,1b23.R.3,train,False
3,1b23.R.4,train,False
4,1b23.R.5,train,False
5,1b23.R.6,train,False
6,1b23.R.7,train,False
7,1b23.R.8,train,True
8,1b23.R.9,train,False
9,1b23.R.10,train,False
10,1b23.R.11,train,False
11,1b23.R.12,train,False
12,1b23.R.13,train,False
13,1b23.R.14,train,False
14,1b23.R.15,train,False
15,1b23.R.16,train,False
16,1b23.R.19,train,False
17,1b23.R.18,train,False
18,1b23.R.20,train,True
19,1b23.R.21,train,True
20,1b23.R.22,train,False
21,1b23.R.23,train,False
22,1b23.R.24,train,False
23,1b23.R.25,train,False
24,1b23.R.26,train,False
25,1b23.R.27,train,False
26,1b23.R.28,train,False
27,1b23.R.29,train,False
28,1b23.R.30,train,False
29,1b23.R.31,train,False
30,1b23.R.32,train,True
31,1b23.R.33,train,False
32,1b23.R.34,train,False
33,1b23.R.35,train,False
34,1b23.R.36,train,False
35,1b23.R.37,train,True
36,1b23.R.38,train,False
37,1b23.R.39,train,True
38,1b23.R.40,train,False
39,1b23.R.41,train,False
40,1b23.R.42,train,False
41,1b23.R.43,train,False
42,1b23.R.44,train,False
43,1b23.R.45,train,False
44,1b23.R.46,train,False
45,1b23.R.49,train,False
46,1b23.R.48,train,False
47,1b23.R.50,train,False
48,1b23.R.51,train,False
49,1b23.R.52,train,False
50,1b23.R.53,train,False
51,1b23.R.54,train,True
52,1b23.R.55,train,True
53,1b23.R.56,train,False
54,1b23.R.57,train,False
55,1b23.R.58,train,False
56,1b23.R.59,train,False
57,1b23.R.60,train,False
58,1b23.R.61,train,False
59,1b23.R.62,train,False
60,1b23.R.63,train,False
61,1b23.R.64,train,False
62,1b23.R.65,train,False
63,1b23.R.66,train,False
64,1b23.R.67,train,False
65,1b23.R.68,train,False
66,1b23.R.69,train,False
67,1b23.R.70,train,False
68,1b23.R.71,train,False
69,1b23.R.72,train,False
70,1b23.R.73,train,False
71,1b23.R.74,train,False
72,1b23.R.75,train,False
73,1b23.R.76,train,False
74,1d4r.A.2,train,False
75,1d4r.A.1,train,True
76,1d4r.A.3,train,False
77,1d4r.A.4,train,False
78,1d4r.A.5,train,False
79,1d4r.A.6,train,False
80,1d4r.A.7,train,False
81,1d4r.A.8,train,False
82,1d4r.A.9,train,False
83,1d4r.A.10,train,False
84,1d4r.A.11,train,False
85,1d4r.A.12,train,False
86,1d4r.A.13,train,False
87,1d4r.A.14,train,False
88,1d4r.A.15,train,False
89,1d4r.A.16,train,False
90,1d4r.A.17,train,False
91,1d4r.A.18,train,False
92,1d4r.A.19,train,False
93,1d4r.A.20,train,False
94,1d4r.A.21,train,False
95,1d4r.A.22,train,False
96,1d4r.A.23,train,False
97,1d4r.A.24,train,False
98,1d4r.A.25,train,False
99,1d4r.A.26,train,False
100,1d4r.A.27,train,False
101,1d4r.A.28,train,False
102,1d4r.A.29,train,True
103,1d4r.B.2,train,False
104,1d4r.B.1,train,True
105,1d4r.B.3,train,False
106,1d4r.B.4,train,False
107,1d4r.B.5,train,False
108,1d4r.B.6,train,False
109,1d4r.B.7,train,False
110,1d4r.B.8,train,False
111,1d4r.B.9,train,False
112,1d4r.B.10,train,False
113,1d4r.B.11,train,False
114,1d4r.B.12,train,False
115,1d4r.B.13,train,False
116,1d4r.B.14,train,False
117,1d4r.B.15,train,False
118,1d4r.B.16,train,False
119,1d4r.B.17,train,False
120,1d4r.B.18,train,False
121,1d4r.B.19,train,False
122,1d4r.B.20,train,False
123,1d4r.B.21,train,False
124,1d4r.B.22,train,False
125,1d4r.B.23,train,False
126,1d4r.B.24,train,False
127,1d4r.B.25,train,False
128,1d4r.B.26,train,False
129,1d4r.B.27,train,False
130,1d4r.B.28,train,False
131,1d4r.B.29,train,False
132,1duh.A.32,val,False
133,1duh.A.31,val,False
134,1duh.A.33,val,False
135,1duh.A.34,val,False
136,1duh.A.35,val,False
137,1duh.A.36,val,False
138,1duh.A.37,val,False
139,1duh.A.38,val,False
140,1duh.A.39,val,False
141,1duh.A.40,val,False
142,1duh.A.41,val,False
143,1duh.A.42,val,False
144,1duh.A.43,val,False
145,1duh.A.44,val,False
146,1duh.A.45,val,False
147,1duh.A.46,val,False
148,1duh.A.47,val,False
149,1duh.A.48,val,False
150,1duh.A.49,val,False
151,1duh.A.50,val,False
152,1duh.A.51,val,False
153,1duh.A.52,val,False
154,1duh.A.53,val,False
155,1duh.A.54,val,False
156,1duh.A.55,val,False
157,1duh.A.56,val,False
158,1duh.A.57,val,False
159,1duh.A.58,val,False
160,1duh.A.59,val,False
161,1duh.A.60,val,False
162,1duh.A.61,val,False
163,1duh.A.62,val,False
164,1duh.A.63,val,False
165,1duh.A.64,val,False
166,1duh.A.65,val,False
167,1duh.A.66,val,False
168,1duh.A.67,val,False
169,1duh.A.68,val,False
170,1duh.A.69,val,False
171,1duh.A.70,val,False
172,1duh.A.71,val,False
173,1duh.A.72,val,False
174,1duh.A.73,val,False
175,1duh.A.74,val,False
176,1duh.A.75,val,True
177,1e8o.E.100,train,False
178,1e8o.E.99,train,True
179,1e8o.E.101,train,False
180,1e8o.E.102,train,False
181,1e8o.E.103,train,False
182,1e8o.E.104,train,False
183,1e8o.E.105,train,False
184,1e8o.E.106,train,False
185,1e8o.E.107,train,False
186,1e8o.E.108,train,False
187,1e8o.E.109,train,False
188,1e8o.E.110,train,False
189,1e8o.E.111,train,False
190,1e8o.E.112,train,False
191,1e8o.E.113,train,False
192,1e8o.E.114,train,False
193,1e8o.E.115,train,False
194,1e8o.E.116,train,False
195,1e8o.E.117,train,False
196,1e8o.E.118,train,False
197,1e8o.E.119,train,False
198,1e8o.E.120,train,False
199,1e8o.E.121,train,False
200,1e8o.E.122,train,False
201,1e8o.E.123,train,False
202,1e8o.E.124,train,False
203,1e8o.E.125,train,False
204,1e8o.E.126,train,False
205,1e8o.E.127,train,False
206,1e8o.E.128,train,False
207,1e8o.E.129,train,False
208,1e8o.E.130,train,False
209,1e8o.E.131,train,False
210,1e8o.E.132,train,False
211,1e8o.E.133,train,False
212,1e8o.E.134,train,False
213,1e8o.E.135,train,False
214,1e8o.E.136,train,False
215,1e8o.E.137,train,False
216,1e8o.E.138,train,False
217,1e8o.E.139,train,False
218,1e8o.E.140,train,False
219,1e8o.E.141,train,False
220,1e8o.E.142,train,False
221,1e8o.E.143,train,False
222,1e8o.E.144,train,False
223,1e8o.E.145,train,False
224,1e8o.E.146,train,False
225,1e8o.E.147,train,False
226,1e8o.E.148,train,False
227,1f1t.A.2,val,False
228,1f1t.A.1,val,False
229,1f1t.A.3,val,False
230,1f1t.A.4,val,True
231,1f1t.A.5,val,False
232,1f1t.A.6,val,False
233,1f1t.A.7,val,False
234,1f1t.A.8,val,False
235,1f1t.A.9,val,False
236,1f1t.A.10,val,False
237,1f1t.A.11,val,True
238,1f1t.A.12,val,False
239,1f1t.A.13,val,False
240,1f1t.A.14,val,False
241,1f1t.A.15,val,False
242,1f1t.A.16,val,False
243,1f1t.A.17,val,False
244,1f1t.A.18,val,False
245,1f1t.A.19,val,False
246,1f1t.A.20,val,False
247,1f1t.A.21,val,False
248,1f1t.A.22,val,False
249,1f1t.A.23,val,False
250,1f1t.A.24,val,False
251,1f1t.A.25,val,True
252,1f1t.A.26,val,False
253,1f1t.A.27,val,False
254,1f1t.A.28,val,False
255,1f1t.A.29,val,False
256,1f1t.A.30,val,False
257,1f1t.A.31,val,False
258,1f1t.A.32,val,True
259,1f1t.A.33,val,False
260,1f1t.A.34,val,False
261,1f1t.A.35,val,False
262,1f1t.A.36,val,True
263,1f1t.A.37,val,False
264,1f1t.A.38,val,False
265,1f7u.B.902,train,False
266,1f7u.B.901,train,True
267,1f7u.B.903,train,False
268,1f7u.B.904,train,False
269,1f7u.B.905,train,False
270,1f7u.B.906,train,False
271,1f7u.B.907,train,False
272,1f7u.B.908,train,False
273,1f7u.B.909,train,True
274,1f7u.B.910,train,True
275,1f7u.B.911,train,False
276,1f7u.B.912,train,False
277,1f7u.B.913,train,False
278,1f7u.B.914,train,False
279,1f7u.B.915,train,False
280,1f7u.B.916,train,True
281,1f7u.B.917,train,False
282,1f7u.B.918,train,False
283,1f7u.B.919,train,True
284,1f7u.B.920,train,False
285,1f7u.B.921,train,False
286,1f7u.B.922,train,False
287,1f7u.B.923,train,False
288,1f7u.B.924,train,False
289,1f7u.B.925,train,False
290,1f7u.B.926,train,True
291,1f7u.B.927,train,True
292,1f7u.B.928,train,False
293,1f7u.B.929,train,False
294,1f7u.B.930,train,False
295,1f7u.B.931,train,False
296,1f7u.B.932,train,False
297,1f7u.B.933,train,False
298,1f7u.B.934,train,False
299,1f7u.B.935,train,False
300,1f7u.B.936,train,False
301,1f7u.B.937,train,False
302,1f7u.B.938,train,False
303,1f7u.B.939,train,False
304,1f7u.B.940,train,False
305,1f7u.B.941,train,False
306,1f7u.B.942,train,False
307,1f7u.B.943,train,False
308,1f7u.B.944,train,False
309,1f7u.B.945,train,False
310,1f7u.B.946,train,False
311,1f7u.B.947,train,True
312,1f7u.B.948,train,False
313,1f7u.B.949,train,True
314,1f7u.B.950,train,False
315,1f7u.B.951,train,False
316,1f7u.B.952,train,False
317,1f7u.B.953,train,False
318,1f7u.B.954,train,True
319,1f7u.B.955,train,True
320,1f7u.B.956,train,False
321,1f7u.B.957,train,False
322,1f7u.B.958,train,True
323,1f7u.B.959,train,False
324,1f7u.B.960,train,False
325,1f7u.B.961,train,False
326,1f7u.B.962,train,False
327,1f7u.B.963,train,False
328,1f7u.B.964,train,False
329,1f7u.B.965,train,False
330,1f7u.B.966,train,False
331,1f7u.B.967,train,False
332,1f7u.B.968,train,False
333,1f7u.B.969,train,False
334,1f7u.B.970,train,False
335,1f7u.B.971,train,False
336,1f7u.B.972,train,False
337,1f7u.B.973,train,False
338,1f7u.B.974,train,False
339,1f7u.B.975,train,False
340,1f7u.B.976,train,False
341,1fir.A.2,train,False
342,1fir.A.1,train,False
343,1fir.A.3,train,False
344,1fir.A.4,train,False
345,1fir.A.5,train,False
346,1fir.A.6,train,True
347,1fir.A.7,train,False
348,1fir.A.8,train,False
349,1fir.A.9,train,False
350,1fir.A.10,train,True
351,1fir.A.11,train,False
352,1fir.A.12,train,False
353,1fir.A.13,train,False
354,1fir.A.14,train,False
355,1fir.A.15,train,False
356,1fir.A.16,train,True
357,1fir.A.17,train,False
358,1fir.A.18,train,False
359,1fir.A.19,train,False
360,1fir.A.20,train,True
361,1fir.A.21,train,False
362,1fir.A.22,train,False
363,1fir.A.23,train,False
364,1fir.A.24,train,False
365,1fir.A.25,train,False
366,1fir.A.26,train,False
367,1fir.A.27,train,True
368,1fir.A.28,train,False
369,1fir.A.29,train,False
370,1fir.A.30,train,False
371,1fir.A.31,train,False
372,1fir.A.32,train,False
373,1fir.A.33,train,False
374,1fir.A.34,train,True
375,1fir.A.35,train,False
376,1fir.A.36,train,False
377,1fir.A.37,train,True
378,1fir.A.38,train,False
379,1fir.A.39,train,True
380,1fir.A.40,train,False
381,1fir.A.41,train,False
382,1fir.A.42,train,False
383,1fir.A.43,train,False
384,1fir.A.44,train,False
385,1fir.A.45,train,False
386,1fir.A.46,train,True
387,1fir.A.47,train,True
388,1fir.A.48,train,True
389,1fir.A.49,train,True
390,1fir.A.50,train,False
391,1fir.A.51,train,False
392,1fir.A.52,train,False
393,1fir.A.53,train,False
394,1fir.A.54,train,True
395,1fir.A.55,train,True
396,1fir.A.56,train,False
397,1fir.A.57,train,False
398,1fir.A.58,train,True
399,1fir.A.59,train,False
400,1fir.A.60,train,False
401,1fir.A.61,train,False
402,1fir.A.62,train,False
403,1fir.A.63,train,False
404,1fir.A.64,train,False
405,1fir.A.65,train,False
406,1fir.A.66,train,False
407,1fir.A.67,train,False
408,1fir.A.68,train,False
409,1fir.A.69,train,False
410,1fir.A.70,train,False
411,1fir.A.71,train,False
412,1fir.A.72,train,False
413,1fir.A.73,train,False
414,1fir.A.74,train,False
415,1fir.A.75,train,False
416,1fir.A.76,train,False
417,1fuf.A.2,train,False
418,1fuf.A.1,train,False
419,1fuf.A.3,train,False
420,1fuf.A.4,train,False
421,1fuf.A.5,train,False
422,1fuf.A.6,train,False
423,1fuf.A.7,train,False
424,1fuf.A.8,train,False
425,1fuf.A.9,train,False
426,1fuf.A.10,train,False
427,1fuf.A.11,train,False
428,1fuf.A.12,train,False
429,1fuf.A.13,train,True
430,1fuf.A.14,train,False
431,1fuf.B.16,train,False
432,1fuf.B.15,train,False
433,1fuf.B.17,train,False
434,1fuf.B.18,train,False
435,1fuf.B.19,train,False
436,1fuf.B.20,train,False
437,1fuf.B.21,train,False
438,1fuf.B.22,train,False
439,1fuf.B.23,train,False
440,1fuf.B.24,train,False
441,1fuf.B.25,train,False
442,1fuf.B.26,train,False
443,1fuf.B.27,train,True
444,1fuf.B.28,train,False
445,1h3e.B.2,train,False
446,1h3e.B.1,train,False
447,1h3e.B.3,train,False
448,1h3e.B.4,train,False
449,1h3e.B.5,train,False
450,1h3e.B.6,train,False
451,1h3e.B.7,train,False
