,residue,split,target
0,5xjc.H.109,train,['0005686']
1,5xjc.H.59,train,['0005686']
2,5xjc.H.159,train,['0005686']
3,5xjc.H.173,train,['0005686']
4,5xjc.H.92,train,['0005686']
5,5xjc.H.99,train,['0005686']
6,5xjc.H.7,train,['0005686']
7,5xjc.H.21,train,['0005686']
8,5xjc.H.13,train,['0005686']
9,5xjc.H.37,train,['0005686']
10,5xjc.H.98,train,['0005686']
11,5xjc.H.60,train,['0005686']
12,5xjc.H.90,train,['0005686']
13,5xjc.H.67,train,['0005686']
14,5xjc.H.184,train,['0005686']
15,5xjc.H.171,train,['0005686']
16,5xjc.H.12,train,['0005686']
17,5xjc.H.26,train,['0005686']
18,5xjc.H.160,train,['0005686']
19,5xjc.H.156,train,['0005686']
20,5xjc.H.172,train,['0005686']
21,5xjc.H.40,train,['0005686']
22,5xjc.H.18,train,['0005686']
23,5xjc.H.154,train,['0005686']
24,5xjc.H.27,train,['0005686']
25,5xjc.H.183,train,['0005686']
26,5xjc.H.82,train,['0005686']
27,5xjc.H.168,train,['0005686']
28,5xjc.H.2,train,['0005686']
29,5xjc.H.30,train,['0005686']
30,5xjc.H.42,train,['0005686']
31,5xjc.H.24,train,['0005686']
32,5xjc.H.113,train,['0005686']
33,5xjc.H.106,train,['0005686']
34,5xjc.H.162,train,['0005686']
35,5xjc.H.103,train,['0005686']
36,5xjc.H.141,train,['0005686']
37,5xjc.H.149,train,['0005686']
38,5xjc.H.144,train,['0005686']
39,5xjc.H.55,train,['0005686']
40,5xjc.H.1,train,['0005686']
41,5xjc.H.68,train,['0005686']
42,5xjc.H.97,train,['0005686']
43,5xjc.H.32,train,['0005686']
44,5xjc.H.80,train,['0005686']
45,5xjc.H.56,train,['0005686']
46,5xjc.H.110,train,['0005686']
47,5xjc.H.114,train,['0005686']
48,5xjc.H.41,train,['0005686']
49,5xjc.H.75,train,['0005686']
50,5xjc.H.105,train,['0005686']
51,5xjc.H.38,train,['0005686']
52,5xjc.H.70,train,['0005686']
53,5xjc.H.6,train,['0005686']
54,5xjc.H.54,train,['0005686']
55,5xjc.H.155,train,['0005686']
56,5xjc.H.16,train,['0005686']
57,5xjc.H.163,train,['0005686']
58,5xjc.H.169,train,['0005686']
59,5xjc.H.83,train,['0005686']
60,5xjc.H.14,train,['0005686']
61,5xjc.H.11,train,['0005686']
62,5xjc.H.142,train,['0005686']
63,5xjc.H.44,train,['0005686']
64,5xjc.H.15,train,['0005686']
65,5xjc.H.104,train,['0005686']
66,5xjc.H.20,train,['0005686']
67,5xjc.H.81,train,['0005686']
68,5xjc.H.72,train,['0005686']
69,5xjc.H.157,train,['0005686']
70,5xjc.H.158,train,['0005686']
71,5xjc.H.17,train,['0005686']
72,5xjc.H.22,train,['0005686']
73,5xjc.H.178,train,['0005686']
74,5xjc.H.152,train,['0005686']
75,5xjc.H.181,train,['0005686']
76,5xjc.H.88,train,['0005686']
77,5xjc.H.148,train,['0005686']
78,5xjc.H.10,train,['0005686']
79,5xjc.H.89,train,['0005686']
80,5xjc.H.161,train,['0005686']
81,5xjc.H.25,train,['0005686']
82,5xjc.H.107,train,['0005686']
83,5xjc.H.43,train,['0005686']
84,5xjc.H.108,train,['0005686']
85,5xjc.H.101,train,['0005686']
86,5xjc.H.74,train,['0005686']
87,5xjc.H.33,train,['0005686']
88,5xjc.H.23,train,['0005686']
89,5xjc.H.182,train,['0005686']
90,5xjc.H.35,train,['0005686']
91,5xjc.H.36,train,['0005686']
92,5xjc.H.170,train,['0005686']
93,5xjc.H.73,train,['0005686']
94,5xjc.H.79,train,['0005686']
95,5xjc.H.150,train,['0005686']
96,5xjc.H.147,train,['0005686']
97,5xjc.H.151,train,['0005686']
98,5xjc.H.31,train,['0005686']
99,5xjc.H.19,train,['0005686']
100,5xjc.H.111,train,['0005686']
101,5xjc.H.46,train,['0005686']
102,5xjc.H.45,train,['0005686']
103,5xjc.H.112,train,['0005686']
104,5xjc.H.115,train,['0005686']
105,5xjc.H.5,train,['0005686']
106,5xjc.H.93,train,['0005686']
107,5xjc.H.174,train,['0005686']
108,5xjc.H.175,train,['0005686']
109,5xjc.H.167,train,['0005686']
110,5xjc.H.57,train,['0005686']
111,5xjc.H.28,train,['0005686']
112,5xjc.H.84,train,['0005686']
113,5xjc.H.180,train,['0005686']
114,5xjc.H.4,train,['0005686']
115,5xjc.H.177,train,['0005686']
116,5xjc.H.165,train,['0005686']
117,5xjc.H.8,train,['0005686']
118,5xjc.H.143,train,['0005686']
119,5xjc.H.166,train,['0005686']
120,5xjc.H.69,train,['0005686']
121,5xjc.H.102,train,['0005686']
122,5xjc.H.39,train,['0005686']
123,5xjc.H.47,train,['0005686']
124,5xjc.H.9,train,['0005686']
125,5xjc.H.85,train,['0005686']
126,5xjc.H.58,train,['0005686']
127,5xjc.H.176,train,['0005686']
128,5xjc.H.77,train,['0005686']
129,5xjc.H.71,train,['0005686']
130,5xjc.H.78,train,['0005686']
131,5xjc.H.100,train,['0005686']
132,5xjc.H.179,train,['0005686']
133,5xjc.H.94,train,['0005686']
134,5xjc.H.3,train,['0005686']
135,5xjc.H.29,train,['0005686']
136,5xjc.H.91,train,['0005686']
137,5xjc.H.153,train,['0005686']
138,5xjc.H.164,train,['0005686']
139,5xjc.H.34,train,['0005686']
140,5xjc.B.31,train,"['0000353', '0005682']"
141,5xjc.B.64,train,"['0000353', '0005682']"
142,5xjc.B.28,train,"['0000353', '0005682']"
143,5xjc.B.14,train,"['0000353', '0005682']"
